N;DENSITY;SEED;EMBEDGREEDY_HOSTS;EMBEDBALANCED_HOSTS;EMBEDPARTITION_HOSTS;METIS_HOSTS;METIS_HOST_CPU_OVERCOMMITMENT;METIS_HOST_MEMORY_OVERCOMMITMENT;METIS_HOST_LINK_OVERCOMMITMENT;METIS_MAX_CPU_OVERCOMMITMENT;METIS_MAX_MEMORY_OVERCOMMITMENT;METIS_MAX_LINK_OVERCOMMITMENT;RANDOM_HOSTS;RANDOM_HOST_CPU_OVERCOMMITMENT;RANDOM_HOST_MEMORY_OVERCOMMITMENT;RANDOM_HOST_LINK_OVERCOMMITMENT;RANDOM_MAX_CPU_OVERCOMMITMENT;RANDOM_MAX_MEMORY_OVERCOMMITMENT;RANDOM_MAX_LINK_OVERCOMMITMENT;ROUNDROBIN_HOSTS;ROUNDROBIN_HOST_CPU_OVERCOMMITMENT;ROUNDROBIN_HOST_MEMORY_OVERCOMMITMENT;ROUNDROBIN_HOST_LINK_OVERCOMMITMENT;ROUNDROBIN_MAX_CPU_OVERCOMMITMENT;ROUNDROBIN_MAX_MEMORY_OVERCOMMITMENT;ROUNDROBIN_MAX_LINK_OVERCOMMITMENT;SWITCHBIN_HOSTS;SWITCHBIN_HOST_CPU_OVERCOMMITMENT;SWITCHBIN_HOST_MEMORY_OVERCOMMITMENT;SWITCHBIN_HOST_LINK_OVERCOMMITMENT;SWITCHBIN_MAX_CPU_OVERCOMMITMENT;SWITCHBIN_MAX_MEMORY_OVERCOMMITMENT;SWITCHBIN_MAX_LINK_OVERCOMMITMENT
35;0,2;82;11;16;14;19;0;0;0;0;0;0;23;1;1;2;25;20,83333333;149,8;25;0;1;2;0;25;51,4;25;2;1;1;12,5;2,083333333;12,4
35;0,3;82;10;-1;14;20;0;0;0;0;0;0;21;2;1;1;43,75;25;113,5;25;1;1;6;43,75;4,166666667;175,3;25;1;1;4;20,83333333;45,83333333;87,4
35;0,4;82;11;16;14;17;1;0;2;4,166666667;0;36,4;23;3;1;6;31,25;54,16666667;95,3;25;1;1;4;6,25;25;162,6;25;3;0;6;20,83333333;0;127,7
35;0,5;82;10;15;13;19;1;1;1;37,5;62,5;50,4;23;0;0;7;0;0;266,1;25;0;0;10;0;0;212,8;25;1;1;7;3,125;25;201,6
35;0,1;83;11;15;13;18;0;1;0;0;20,83333333;0;23;2;0;2;6,25;0;58,6;25;2;0;2;12,5;0;48,1;25;0;0;1;0;0;7,3
35;0,2;83;11;15;13;18;1;0;0;3,125;0;0;24;1;2;2;25;25;139,4;25;1;1;4;6,25;4,166666667;68,2;25;1;1;1;56,25;162,5;7,2
35;0,3;83;10;16;14;20;2;1;0;25;75;0;23;1;0;3;8,333333333;0;118,6;25;0;2;3;0;41,66666667;74,5;25;2;0;4;62,5;0;139,4
35;0,4;83;11;14;13;17;3;1;1;12,5;6,25;25,2;24;2;1;8;25;8,333333333;239,9;25;1;1;6;18,75;16,66666667;112,3;25;1;0;5;18,75;0;142,1
35;0,5;83;10;14;12;17;0;0;0;0;0;0;24;3;1;8;43,75;91,66666667;254,6;25;0;0;11;0;0;202,5;25;1;1;9;3,125;2,083333333;248,9
35;0,1;84;12;20;14;19;0;0;0;0;0;0;25;1;1;1;3,125;58,33333333;80,2;25;0;1;0;0;16,66666667;0;25;2;0;0;9,375;0;0
35;0,2;84;11;20;15;18;1;0;0;37,5;0;0;24;0;1;4;0;8,333333333;52,3;25;2;2;3;18,75;33,33333333;35,4;25;0;1;0;0;33,33333333;0
35;0,3;84;12;-1;15;20;2;0;0;33,33333333;0;0;24;1;0;6;4,166666667;0;116,4;25;0;0;6;0;0;99,4;25;4;0;3;50;0;57,3
35;0,4;84;11;16;14;18;2;0;1;6,25;0;39,1;24;1;0;6;12,5;0;238,6;25;1;1;10;6,25;16,66666667;125,8;25;2;0;7;25;0;225,1
35;0,5;84;11;-1;14;18;0;0;2;0;0;60,7;22;2;0;8;33,33333333;0;676,4;25;0;1;11;0;8,333333333;235,3;25;1;0;10;9,375;0;205,7
35;0,1;85;10;15;13;20;0;0;0;0;0;0;25;1;0;1;18,75;0;8,4;25;1;2;1;18,75;25;2,2;25;2;1;0;9,375;75;0
35;0,2;85;10;16;14;20;1;0;0;3,125;0;0;24;1;0;2;12,5;0;66,4;25;0;0;2;0;0;40,5;25;2;0;2;29,16666667;0;17,5
35;0,3;85;10;-1;12;18;1;0;0;43,75;0;0;23;1;0;6;41,66666667;0;193,6;25;0;0;3;0;0;89,4;25;1;1;3;50;33,33333333;89,6
35;0,4;85;10;16;12;17;2;0;0;12,5;0;0;23;1;0;8;43,75;0;294,5;25;0;0;7;0;0;107,8;25;1;1;8;62,5;12,5;139,5
35;0,5;85;12;16;13;17;1;1;1;9,375;70,83333333;46,6;23;3;1;10;62,5;25;663,8;25;2;1;10;18,75;41,66666667;230,7;25;3;0;11;43,75;0;247,9
35;0,1;86;11;16;12;21;2;0;0;43,75;0;0;23;1;0;2;4,166666667;0;11,2;25;0;1;0;0;25;0;25;2;0;0;41,66666667;0;0
35;0,2;86;11;18;14;17;2;1;0;25;25;0;24;2;0;6;20,83333333;0;152,6;25;1;0;2;31,25;0;53,2;25;1;1;2;9,375;4,166666667;44,2
35;0,3;86;10;15;15;21;1;0;0;8,333333333;0;0;23;1;0;7;33,33333333;0;297,9;25;0;0;3;0;0;93,2;25;0;0;4;0;0;52,6
35;0,4;86;11;22;14;18;0;0;1;0;0;101,2;24;2;0;9;9,375;0;190,4;25;1;1;6;18,75;33,33333333;148,7;25;2;1;5;8,333333333;20,83333333;190,4
35;0,5;86;11;-1;-1;18;0;0;0;0;0;0;25;2;1;9;43,75;66,66666667;290,9;25;0;0;10;0;0;153,8;25;2;0;6;31,25;0;218,4
